case_id,physical_field_change_count,physical_fields,path_field_change_count,path_fields,status_change,termination_change
flash_ch4_c2_c3_80_10_10_250k_5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c2_c3_zero_c2_250k_2mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c2_c3_zero_c3_250k_2mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_c3_zero_ch4_250k_2mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_near_pure_c2_250k_2mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c2_near_pure_ch4_250k_2mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c3_20_80_180k_0p5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c3_20_80_180k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c3_20_80_250k_0p5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c3_20_80_250k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c3_50_50_180k_0p5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c3_50_50_180k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c3_50_50_250k_0p5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c3_50_50_250k_5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c3_60_40_180k_0p5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c3_60_40_180k_5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c3_60_40_250k_0p5mpa,3,k_values|log_k_values|selected_parent_root,0,,false,false
flash_ch4_c3_60_40_250k_5mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
flash_ch4_c3_60_40_reversed_250k_2mpa,8,beta|liquid_composition|vapor_composition|k_values|log_k_values|liquid_root|vapor_root|fugacity_residual,0,,false,false
